,timestamp,value
3873,2018-07-06 12:00:00,1727.0
3874,2018-07-06 13:00:00,1843.0
3875,2018-07-06 14:00:00,1946.0
3876,2018-07-06 15:00:00,1875.0
3877,2018-07-06 16:00:00,1868.0
3878,2018-07-06 17:00:00,1805.0
3879,2018-07-06 18:00:00,1789.0
3880,2018-07-06 19:00:00,1829.0
3881,2018-07-06 20:00:00,1755.0
3882,2018-07-06 21:00:00,1667.0
3883,2018-07-06 22:00:00,1645.0
3884,2018-07-06 23:00:00,1582.0
3885,2018-07-07 00:00:00,1444.0
3886,2018-07-07 01:00:00,1310.0
3887,2018-07-07 02:00:00,1194.0
3888,2018-07-07 03:00:00,1135.0
3889,2018-07-07 04:00:00,1082.0
3890,2018-07-07 05:00:00,1072.0
3891,2018-07-07 06:00:00,1005.0
3892,2018-07-07 07:00:00,1032.0
3893,2018-07-07 08:00:00,1095.0
3894,2018-07-07 09:00:00,1197.0
3895,2018-07-07 10:00:00,1294.0
3896,2018-07-07 11:00:00,1381.0
3897,2018-07-07 12:00:00,1499.0
3898,2018-07-07 13:00:00,1555.0
3899,2018-07-07 14:00:00,1555.0
3900,2018-07-07 15:00:00,1616.0
3901,2018-07-07 16:00:00,1723.0
3902,2018-07-07 17:00:00,1772.0
3903,2018-07-07 18:00:00,1804.0
3904,2018-07-07 19:00:00,1796.0
3905,2018-07-07 20:00:00,1742.0
3906,2018-07-07 21:00:00,1641.0
3907,2018-07-07 22:00:00,1576.0
3908,2018-07-07 23:00:00,1473.0
3909,2018-07-08 00:00:00,1344.0
3910,2018-07-08 01:00:00,1192.0
3911,2018-07-08 02:00:00,1072.0
3912,2018-07-08 03:00:00,1007.0
3913,2018-07-08 04:00:00,963.0
3914,2018-07-08 05:00:00,919.0
3915,2018-07-08 06:00:00,941.0
3916,2018-07-08 07:00:00,982.0
3917,2018-07-08 08:00:00,1057.0
3918,2018-07-08 09:00:00,1186.0
3919,2018-07-08 10:00:00,1369.0
3920,2018-07-08 11:00:00,1507.0
3921,2018-07-08 12:00:00,1652.0
3922,2018-07-08 13:00:00,1766.0
3923,2018-07-08 14:00:00,1853.0
3924,2018-07-08 15:00:00,1940.0
3925,2018-07-08 16:00:00,2005.0
3926,2018-07-08 17:00:00,2082.0
3927,2018-07-08 18:00:00,2118.0
3928,2018-07-08 19:00:00,2032.0
3929,2018-07-08 20:00:00,1975.0
3930,2018-07-08 21:00:00,1949.0
3931,2018-07-08 22:00:00,1927.0
3932,2018-07-08 23:00:00,1764.0
3933,2018-07-09 00:00:00,1564.0
3934,2018-07-09 01:00:00,1404.0
3935,2018-07-09 02:00:00,1281.0
3936,2018-07-09 03:00:00,1180.0
3937,2018-07-09 04:00:00,1123.0
3938,2018-07-09 05:00:00,1148.0
3939,2018-07-09 06:00:00,1161.0
3940,2018-07-09 07:00:00,1221.0
3941,2018-07-09 08:00:00,1284.0
3942,2018-07-09 09:00:00,1393.0
3943,2018-07-09 10:00:00,1521.0
3944,2018-07-09 11:00:00,1669.0
3945,2018-07-09 12:00:00,1842.0
3946,2018-07-09 13:00:00,1933.0
3947,2018-07-09 14:00:00,2052.0
3948,2018-07-09 15:00:00,2051.0
3949,2018-07-09 16:00:00,2191.0
3950,2018-07-09 17:00:00,2253.0
3951,2018-07-09 18:00:00,2297.0
3952,2018-07-09 19:00:00,2289.0
3953,2018-07-09 20:00:00,2262.0
3954,2018-07-09 21:00:00,2142.0
3955,2018-07-09 22:00:00,2053.0
3956,2018-07-09 23:00:00,1903.0
3957,2018-07-10 00:00:00,1694.0
3958,2018-07-10 01:00:00,1528.0
3959,2018-07-10 02:00:00,1375.0
3960,2018-07-10 03:00:00,1286.0
3961,2018-07-10 04:00:00,1179.0
3962,2018-07-10 05:00:00,1221.0
3963,2018-07-10 06:00:00,1169.0
3964,2018-07-10 07:00:00,1213.0
3965,2018-07-10 08:00:00,1350.0
3966,2018-07-10 09:00:00,1422.0
3967,2018-07-10 10:00:00,1588.0
3968,2018-07-10 11:00:00,1690.0
3969,2018-07-10 12:00:00,1863.0
3970,2018-07-10 13:00:00,1952.0
3971,2018-07-10 14:00:00,2034.0
3972,2018-07-10 15:00:00,2080.0
3973,2018-07-10 16:00:00,2156.0
3974,2018-07-10 17:00:00,2264.0
3975,2018-07-10 18:00:00,2312.0
3976,2018-07-10 19:00:00,2309.0
3977,2018-07-10 20:00:00,2252.0
3978,2018-07-10 21:00:00,2151.0
3979,2018-07-10 22:00:00,2098.0
3980,2018-07-10 23:00:00,1942.0
3981,2018-07-11 00:00:00,1744.0
3982,2018-07-11 01:00:00,1580.0
3983,2018-07-11 02:00:00,1446.0
3984,2018-07-11 03:00:00,1369.0
3985,2018-07-11 04:00:00,1297.0
3986,2018-07-11 05:00:00,1288.0
3987,2018-07-11 06:00:00,1327.0
3988,2018-07-11 07:00:00,1404.0
3989,2018-07-11 08:00:00,1424.0
3990,2018-07-11 09:00:00,1527.0
3991,2018-07-11 10:00:00,1624.0
3992,2018-07-11 11:00:00,1749.0
3993,2018-07-11 12:00:00,1920.0
3994,2018-07-11 13:00:00,1991.0
3995,2018-07-11 14:00:00,2076.0
3996,2018-07-11 15:00:00,2094.0
3997,2018-07-11 16:00:00,2119.0
3998,2018-07-11 17:00:00,2161.0
3999,2018-07-11 18:00:00,2187.0
4000,2018-07-11 19:00:00,2154.0
4001,2018-07-11 20:00:00,2086.0
4002,2018-07-11 21:00:00,1985.0
4003,2018-07-11 22:00:00,1884.0
4004,2018-07-11 23:00:00,1758.0
4005,2018-07-12 00:00:00,1578.0
4006,2018-07-12 01:00:00,1437.0
4007,2018-07-12 02:00:00,1304.0
4008,2018-07-12 03:00:00,1216.0
4009,2018-07-12 04:00:00,1154.0
4010,2018-07-12 05:00:00,1124.0
4011,2018-07-12 06:00:00,1155.0
4012,2018-07-12 07:00:00,1251.0
4013,2018-07-12 08:00:00,1320.0
4014,2018-07-12 09:00:00,1369.0
4015,2018-07-12 10:00:00,1468.0
4016,2018-07-12 11:00:00,1602.0
4017,2018-07-12 12:00:00,1708.0
4018,2018-07-12 13:00:00,1824.0
4019,2018-07-12 14:00:00,1896.0
4020,2018-07-12 15:00:00,1979.0
4021,2018-07-12 16:00:00,2026.0
4022,2018-07-12 17:00:00,2082.0
4023,2018-07-12 18:00:00,2115.0
4024,2018-07-12 19:00:00,2073.0
4025,2018-07-12 20:00:00,2041.0
4026,2018-07-12 21:00:00,1925.0
4027,2018-07-12 22:00:00,1862.0
4028,2018-07-12 23:00:00,1689.0
4029,2018-07-13 00:00:00,1536.0
4030,2018-07-13 01:00:00,1354.0
4031,2018-07-13 02:00:00,1245.0
